Country,Latitude,Longitude,GDP_pc,Population
Italy,42.6384261,12.674297,35617.62798447659,59240329.0
Jamaica,18.1850507,-77.3947693,5183.580141422607,2827695.0
Japan,36.5748441,139.2394179,39642.88342432338,124612530.0
Jordan,31.1667049,36.941628,4058.354301175482,11148278.0
Kazakhstan,48.1012954,66.7780818,10053.934409277956,19196465.0
Kenya,1.4419683,38.4313975,2075.2518780369187,53005614.0
Kiribati,0.3448612,173.6641773,1764.9344863975666,128874.0
Kosovo,42.5869578,20.9021231,5663.086498328228,1662009.0
Kuwait,29.2733964,47.4979476,32234.429476479923,4250114.0
Kyrgyzstan,41.5089324,74.724091,1339.0052103766952,6527743.0
Latvia,56.8406494,24.7537645,21267.46224356549,1873919.0
Lebanon,33.8750629,35.843409,6784.799327722498,5592631.0
Lesotho,-29.6039267,28.3350193,1040.308674205134,2281454.0
Liberia,5.7499721,-9.3658524,470.7670163530131,5193416.0
Libya,26.8234472,18.1236723,5791.254976447145,6735277.0
Liechtenstein,47.1416307,9.5531527,169260.21698814008,39039.0
Lithuania,55.3500003,23.7499997,23844.12564939061,2786651.0
Luxembourg,49.8158683,6.1296751,133745.4015025316,639321.0
Madagascar,-18.9249604,46.4416422,499.7221850739459,28915653.0
Malawi,-13.2687204,33.9301963,613.341049723018,19889742.0
Malaysia,4.5693754,102.2656823,11109.829029560306,33573874.0
Maldives,3.7203503,73.2244152,10366.294434632196,521457.0
Mali,16.3700359,-2.2900239,874.5524142155235,21904983.0
Malta,35.8885993,14.4476911,33641.59568522329,526748.0
Marshall Islands,8.230816999999998,167.7953223704529,6111.27229488704,42050.0
Mauritania,20.2540382,-9.2399263,2166.044796568735,4614974.0
Mauritius,-20.2759451,57.5703566,8872.95918978532,1298915.0
Mexico,23.6585116,-102.0077097,10023.271510899582,126705138.0
Micronesia,8.6062347,151.832744331612,,
Monaco,43.7323492,7.4276832,234317.0848279998,36686.0
Mongolia,46.8250388,103.8499736,4509.858393407934,3347782.0
Montenegro,42.9868853,19.5180992,9252.3119155734,627859.0
Montserrat,16.7417041,-62.1916844,16199.419515508263,4417.0
Morocco,31.1728205,-7.3362482,3856.881745092806,37076584.0
Mozambique,-19.302233,34.9144977,491.8391127781239,32077072.0
Myanmar,17.1750495,95.9999652,1088.925206295451,53798084.0
Namibia,-23.2335499,17.3231107,4836.174241379269,2530151.0
Nauru,-0.5252306,166.9324426,12390.370154264248,12511.0
Nepal,28.3780464,83.9999901,1205.5000022140844,30034989.0
Netherlands,52.24764975,5.541246849406163,57708.692917532106,17501696.0
New Zealand,-41.5000831,172.8344077,48735.53699836268,5129727.0
Nicaragua,12.6090157,-85.2936911,2045.5342866401768,6850540.0
Niger,17.7356214,9.3238432,590.6294772500169,25252722.0
Nigeria,9.6000359,7.9999721,2019.66882838866,213401323.0
North Korea,40.3736611,127.0870417,,
North Macedonia,41.6171214,21.7168387,6599.619340284216,2103330.0
Norway,61.1529386,8.7876653,89209.35158312359,5403021.0
Oman,21.0000287,57.0036901,19509.466486346224,4520471.0
Pakistan,30.3308401,71.247499,1482.26820241234,231402117.0
Palau,5.3783537,132.9102573,12084.128273413227,18024.0
Panama,8.559559,-81.1308434,14617.596617490952,4351267.0
Papua New Guinea,-5.6816069,144.2489081,2672.967173921499,9949437.0
Paraguay,-23.3165935,-58.1693445,6035.14306380606,6703799.0
Peru,-6.8699697,-75.0458515,6614.17424659439,33715471.0
Philippines,12.7503486,122.7312101,3459.77226198365,113880328.0
Poland,52.215933,19.134422,17724.88400903776,38307726.0
Portugal,39.6621648,-8.1353519,24683.91229903141,10290103.0
Qatar,25.3336984,51.2295295,66958.43183352645,2688235.0
Republic of Korea,36.638392,127.6961188,34921.766271936875,51830139.0
Republic of Moldova,47.2879608,28.5670941,4468.421290044834,3061506.0
Romania,45.9852129,24.6859225,14693.282893293655,19328560.0
Russian Federation,64.6863136,97.7453061,12267.16887629046,145102755.0
Rwanda,-1.9646631,30.0644358,822.315748727073,13461888.0
Saint Kitts and Nevis,17.250512,-62.6725973,18082.68798050666,47606.0
Saint Lucia,13.8250489,-60.975036,9824.062103745597,179651.0
Samoa,-13.7693895,-172.12005,3918.65810188148,218764.0
San Marino,43.9458623,12.458306,50425.10214846644,33745.0
Sao Tome and Principe,0.9713095,7.02255,2485.8175539091108,223107.0
Saudi Arabia,25.6242618,42.3528328,23198.63180366636,35950396.0
Senegal,14.4750607,-14.4529612,1636.879825226703,16876720.0
Serbia,44.1534121,20.55144,8643.292397498126,7296769.0
Seychelles,-4.6574977,55.4540146,12084.627635694227,106471.0
Sierra Leone,8.6400349,-11.8400269,504.6212380981448,8420641.0
Singapore,1.357107,103.8194992,66823.09217547037,5941060.0
Slovakia,48.7411522,19.4528646,21477.26108749836,5447622.0
Slovenia,46.1199444,14.8153333,29134.800031612573,2119410.0
Solomon Islands,-8.7053941,159.1070693851845,2305.9811471623266,707851.0
Somalia,8.3676771,49.083416,446.9977572987407,17065581.0
South Africa,-28.8166236,24.991639,7054.791908473588,59392255.0
South Sudan,7.8699431,29.6667897,400.4429029149988,10748272.0
Spain,39.3260685,-4.8379791,30113.5459679594,47486935.0
Sri Lanka,7.5554942,80.7137847,3918.019167618017,21773441.0
St. Vincent and the Grenadines,12.90447,-61.2765569,8440.025092972433,104332.0
State of Palestine,31.762963620549996,34.9384953773143,3513.6221819802577,5133392.0
Sudan,14.5844444,29.4917691,785.5772952315388,45657202.0
Suriname,4.1413025,-56.0771187,5259.262972177134,612985.0
Sweden,59.6749712,14.5208584,60761.83300871292,10467097.0
Switzerland,46.7985624,8.2319736,93540.6768479116,8691406.0
Syrian Arab Republic,34.6401861,39.0494106,924.7117833321852,21324367.0
Tajikistan,38.6281733,70.8156541,897.0514763800525,9750064.0
Tanzania,-6.5247123,35.7878438,,
Thailand,14.8971921,100.83273,7066.930239887505,71601103.0
Timor-Leste,-8.7443169,126.063482,1517.2238811393688,1320942.0
Togo,8.7800265,1.0199765,943.939354150325,8644829.0
Tonga,-19.9160819,-175.202642,4450.531490232698,106017.0
Trinidad and Tobago,10.7466905,-61.0840075,16032.502768304665,1525663.0
Tunisia,33.8439408,9.400138,3807.18456307318,12262946.0
Turkmenistan,39.3763807,59.3924609,8507.667600252607,6341855.0
Turks and Caicos Islands,21.721746,-71.5527809,20908.581992286207,45114.0
Tuvalu,-8.6405212,179.1582918181797,5370.419314530524,11204.0
Türkiye,38.9597594,34.9249653,9660.820961702524,84775404.0
Uganda,1.5333554,32.2166578,930.372362338388,45853778.0
Ukraine,49.4871968,31.2718321,4594.38242104749,43531422.0
United Arab Emirates,24.0002488,53.9994829,43245.45962716007,9365145.0
United Kingdom,54.7023545,-3.2765753,46521.27919724902,67281039.0
United States,39.7837304,-100.445882,69139.95334281644,336997624.0
Uruguay,-32.8755548,-56.0201525,17312.641777915276,3426260.0
Uzbekistan,41.32373,63.9528098,2031.5715791896052,34081449.0
Vanuatu,-16.5255069,168.1069154,3072.572221334411,319137.0
Venezuela,8.0018709,-66.1109318,,
Vietnam,15.9266657,107.9650855,,
Yemen,16.3471243,47.8915271,301.58643340396554,32981641.0
Zambia,-14.5189121,27.5589884,1094.5016132747055,19473125.0
Zimbabwe,-18.4554963,29.7468414,1507.9947898912085,15993524.0
